timestamp,level,service,message
2026-04-22 09:00:00,ERROR,payroll,Transaction failed
2026-04-22 09:00:20,INFO,erp,System running normally
2026-04-22 09:00:24,WARN,auth,Multiple failed login attempts
2026-04-22 09:00:24,WARN,db,High memory usage
2026-04-22 09:00:44,WARN,security,Multiple failed login attempts
2026-04-22 09:01:05,ERROR,auth,Database timeout
2026-04-22 09:01:12,INFO,auth,System running normally
2026-04-22 09:00:42,INFO,auth,Service restarted
2026-04-22 09:01:28,WARN,system,Network latency high
2026-04-22 09:02:24,INFO,system,Batch job completed
2026-04-22 09:03:20,INFO,system,Batch job completed
2026-04-22 09:03:07,WARN,network,Network latency high
2026-04-22 09:02:24,WARN,network,Disk nearing capacity
2026-04-22 09:03:28,WARN,system,Disk nearing capacity
2026-04-22 09:03:02,INFO,db,System running normally
2026-04-22 09:03:30,INFO,payment,Service restarted
2026-04-22 09:02:24,INFO,erp,Transaction processed
2026-04-22 09:05:06,INFO,payment,Batch job completed
2026-04-22 09:05:42,INFO,payment,Batch job completed
2026-04-22 09:03:10,INFO,erp,System running normally
2026-04-22 09:04:20,ERROR,system,Payment API failure
2026-04-22 09:03:09,ERROR,db,Transaction failed
2026-04-22 09:06:36,INFO,system,Service restarted
2026-04-22 09:04:59,INFO,auth,Batch job completed
2026-04-22 09:03:12,INFO,db,Batch job completed
2026-04-22 09:05:25,ERROR,erp,Payment API failure
2026-04-22 09:08:14,ERROR,security,Database timeout
2026-04-22 09:05:24,INFO,auth,Transaction processed
2026-04-22 09:03:16,WARN,erp,Multiple failed login attempts
2026-04-22 09:02:25,INFO,auth,Service restarted
2026-04-22 09:09:00,INFO,system,Batch job completed
2026-04-22 09:06:43,WARN,payment,Multiple failed login attempts
2026-04-22 09:03:12,INFO,erp,Transaction processed
2026-04-22 09:03:51,WARN,db,Suspicious IP detected
2026-04-22 09:10:46,ERROR,security,Transaction failed
2026-04-22 09:09:55,ERROR,security,Transaction failed
2026-04-22 09:03:36,INFO,erp,Transaction processed
2026-04-22 09:04:56,INFO,system,User login successful
2026-04-22 09:10:08,WARN,network,High memory usage
2026-04-22 09:09:06,WARN,payroll,Disk nearing capacity
2026-04-22 09:03:20,INFO,system,Transaction processed
2026-04-22 09:07:31,INFO,db,Transaction processed
2026-04-22 09:04:54,WARN,auth,Multiple failed login attempts
2026-04-22 09:10:02,ERROR,db,Unauthorized access attempt
2026-04-22 09:08:04,WARN,system,Disk nearing capacity
2026-04-22 09:13:30,WARN,auth,Multiple failed login attempts
2026-04-22 09:07:40,INFO,auth,User login successful
2026-04-22 09:14:53,INFO,security,Service restarted
2026-04-22 09:14:24,INFO,network,Batch job completed
2026-04-22 09:05:43,ERROR,network,Database timeout
2026-04-22 09:12:30,INFO,payroll,User login successful
2026-04-22 09:12:45,INFO,system,Batch job completed
2026-04-22 09:11:16,ERROR,system,Payment API failure
2026-04-22 09:06:11,INFO,system,User login successful
2026-04-22 09:15:18,INFO,erp,Service restarted
